id,zip,latitude,longitude
zipgeo_32547,32547,30.466178,-86.652985
zipgeo_32548,32548,30.413213,-86.589259
zipgeo_32550,32550,30.381433,-86.345668
zipgeo_32561,32561,30.340667,-87.116593
zipgeo_32563,32563,30.390852,-87.024785
zipgeo_32564,32564,30.728808,-86.781915
zipgeo_32565,32565,30.894380,-87.145454
zipgeo_32566,32566,30.425302,-86.892346
zipgeo_32567,32567,30.921061,-86.431503
zipgeo_32568,32568,30.877835,-87.474860
zipgeo_32569,32569,30.411380,-86.728401
zipgeo_32570,32570,30.791549,-86.982974
zipgeo_32571,32571,30.673287,-87.195850
zipgeo_32577,32577,30.740981,-87.379367
zipgeo_32578,32578,30.507855,-86.448368
zipgeo_32579,32579,30.445672,-86.574308
zipgeo_32580,32580,30.506542,-86.514690
zipgeo_32583,32583,30.604882,-86.972179
zipgeo_32601,32601,29.648700,-82.325412
zipgeo_32603,32603,29.653082,-82.350386
zipgeo_32605,32605,29.679180,-82.372822
zipgeo_32606,32606,29.682064,-82.444115
zipgeo_32607,32607,29.647333,-82.419155
zipgeo_32608,32608,29.590230,-82.396199
zipgeo_32609,32609,29.772187,-82.283422
zipgeo_32610,32610,29.640760,-82.343353
zipgeo_32612,32612,29.643120,-82.353845
zipgeo_32615,32615,29.819170,-82.486164
zipgeo_32616,32616,29.782044,-82.499316
zipgeo_32617,32617,29.308388,-82.074366
zipgeo_32618,32618,29.539756,-82.521492
zipgeo_32619,32619,29.756031,-82.868250
zipgeo_32621,32621,29.428967,-82.630916
zipgeo_32622,32622,29.900067,-82.307034
zipgeo_32625,32625,29.214738,-82.995429
zipgeo_32626,32626,29.423864,-82.899323
zipgeo_32628,32628,29.653159,-83.162979
zipgeo_32631,32631,29.728502,-82.113414
zipgeo_32634,32634,29.364660,-82.254275
zipgeo_32639,32639,29.232242,-82.721668
zipgeo_32640,32640,29.557729,-82.070774
zipgeo_32641,32641,29.647501,-82.239482
zipgeo_32643,32643,29.817981,-82.636103
zipgeo_32648,32648,29.500642,-83.238615
zipgeo_32653,32653,29.743875,-82.402776
zipgeo_32656,32656,29.827107,-81.945168
zipgeo_32658,32658,29.851858,-82.416554
zipgeo_32664,32664,29.449347,-82.221854
zipgeo_32666,32666,29.714185,-81.992515
zipgeo_32667,32667,29.489515,-82.304316
zipgeo_32668,32668,29.257242,-82.474721
zipgeo_32669,32669,29.632156,-82.589919
zipgeo_32680,32680,29.574911,-83.074406
zipgeo_32681,32681,29.426939,-82.215214
zipgeo_32683,32683,29.274237,-82.769519
zipgeo_32686,32686,29.355545,-82.275017
zipgeo_32692,32692,29.329319,-83.172494
zipgeo_32693,32693,29.626485,-82.785375
zipgeo_32694,32694,29.808061,-82.144376
zipgeo_32696,32696,29.400068,-82.469276
zipgeo_32697,32697,29.928160,-82.425529
zipgeo_32701,32701,28.665624,-81.370356
zipgeo_32702,32702,29.044189,-81.627473
zipgeo_32703,32703,28.653636,-81.520744
zipgeo_32707,32707,28.664104,-81.314908
zipgeo_32708,32708,28.688064,-81.269962
zipgeo_32709,32709,28.502489,-80.958830
zipgeo_32712,32712,28.736081,-81.547624
zipgeo_32713,32713,28.881398,-81.324270
zipgeo_32714,32714,28.662487,-81.411607
zipgeo_32720,32720,29.033304,-81.374753
zipgeo_32723,32723,29.034536,-81.304522
zipgeo_32724,32724,29.057205,-81.225576
zipgeo_32725,32725,28.886189,-81.251417
zipgeo_32726,32726,28.854136,-81.679937
zipgeo_32730,32730,28.652057,-81.343480
zipgeo_32732,32732,28.751037,-81.102119
zipgeo_32735,32735,28.890423,-81.739039
zipgeo_32736,32736,28.916675,-81.489093
zipgeo_32738,32738,28.904744,-81.188232
zipgeo_32744,32744,28.985234,-81.219583
zipgeo_32746,32746,28.771373,-81.353086
zipgeo_32750,32750,28.708650,-81.350482
zipgeo_32751,32751,28.630400,-81.365046
zipgeo_32754,32754,28.687109,-80.919193
zipgeo_32757,32757,28.776422,-81.631228
zipgeo_32759,32759,28.825537,-80.902691
zipgeo_32763,32763,28.942166,-81.306122
zipgeo_32764,32764,28.836668,-81.063065
zipgeo_32765,32765,28.665112,-81.196290
zipgeo_32766,32766,28.647675,-81.044691
zipgeo_32767,32767,29.026591,-81.534474
zipgeo_32768,32768,28.695755,-81.557944
zipgeo_32771,32771,28.814656,-81.317583
zipgeo_32773,32773,28.755093,-81.247488
zipgeo_32775,32775,28.767044,-80.876699
zipgeo_32776,32776,28.800535,-81.483750
zipgeo_32778,32778,28.773431,-81.730230
zipgeo_32779,32779,28.726884,-81.414795
zipgeo_32780,32780,28.528169,-80.779838
zipgeo_32784,32784,28.974313,-81.716763
zipgeo_32789,32789,28.599170,-81.352238
zipgeo_32792,32792,28.608352,-81.300566
zipgeo_32796,32796,28.625289,-80.845855
zipgeo_32798,32798,28.723731,-81.587720
zipgeo_32801,32801,28.541769,-81.374357
zipgeo_32803,32803,28.555617,-81.348447
zipgeo_32804,32804,28.579038,-81.394201
zipgeo_32805,32805,28.529974,-81.406402
zipgeo_32806,32806,28.512357,-81.360269
zipgeo_32807,32807,28.553677,-81.300656
zipgeo_32808,32808,28.580110,-81.444300
zipgeo_32809,32809,28.462218,-81.385219
zipgeo_32810,32810,28.621595,-81.428706
zipgeo_32811,32811,28.521039,-81.447731
zipgeo_32812,32812,28.484679,-81.324422
zipgeo_32814,32814,28.569470,-81.326469
zipgeo_32816,32816,28.600084,-81.195983
zipgeo_32817,32817,28.587848,-81.244103
zipgeo_32818,32818,28.590060,-81.493848
zipgeo_32819,32819,28.453705,-81.472373
zipgeo_32820,32820,28.576926,-81.139837
zipgeo_32821,32821,28.381330,-81.480129
zipgeo_32822,32822,28.489898,-81.290154
zipgeo_32824,32824,28.388751,-81.344535
zipgeo_32825,32825,28.536725,-81.242932
zipgeo_32826,32826,28.579663,-81.188640
zipgeo_32827,32827,28.431169,-81.323825
zipgeo_32828,32828,28.530179,-81.169271
zipgeo_32829,32829,28.477164,-81.223883
zipgeo_32830,32830,28.391693,-81.567239
zipgeo_32831,32831,28.486537,-81.146405
zipgeo_32832,32832,28.400248,-81.176562
zipgeo_32833,32833,28.494294,-81.083265
zipgeo_32835,32835,28.521975,-81.485967
zipgeo_32836,32836,28.405735,-81.516474
zipgeo_32837,32837,28.382240,-81.414460
zipgeo_32839,32839,28.488069,-81.407208
zipgeo_32899,32899,28.570183,-80.627676
zipgeo_32901,32901,28.079378,-80.622302
zipgeo_32903,32903,28.102377,-80.582170
zipgeo_32904,32904,28.032879,-80.816050
zipgeo_32905,32905,28.031366,-80.600414
zipgeo_32907,32907,28.020947,-80.679785
zipgeo_32908,32908,27.956179,-80.698269
zipgeo_32909,32909,27.899533,-80.659568
zipgeo_32920,32920,28.441757,-80.587945
zipgeo_32922,32922,28.372888,-80.741608
zipgeo_32925,32925,28.251630,-80.610008
zipgeo_32926,32926,28.382901,-80.819312
zipgeo_32927,32927,28.463766,-80.806711
zipgeo_32931,32931,28.320489,-80.625805
zipgeo_32934,32934,28.134548,-80.713887
zipgeo_32935,32935,28.145532,-80.649962
zipgeo_32937,32937,28.175952,-80.605279
zipgeo_32940,32940,28.210691,-80.750596
zipgeo_32948,32948,27.759557,-80.629194
zipgeo_32949,32949,27.909779,-80.560567
zipgeo_32950,32950,27.980527,-80.569574
zipgeo_32951,32951,27.944655,-80.502999
zipgeo_32952,32952,28.320397,-80.659178
zipgeo_32953,32953,28.463513,-80.687731
zipgeo_32955,32955,28.288759,-80.791442
zipgeo_32958,32958,27.794384,-80.491460
zipgeo_32959,32959,28.445127,-80.763703
zipgeo_32960,32960,27.640722,-80.403592
zipgeo_32962,32962,27.583462,-80.383467
zipgeo_32963,32963,27.718239,-80.393276
zipgeo_32966,32966,27.686911,-80.715786
zipgeo_32967,32967,27.715490,-80.454289
zipgeo_32968,32968,27.593204,-80.508685
zipgeo_32970,32970,27.754026,-80.450493
zipgeo_32976,32976,27.846262,-80.554114
zipgeo_33001,33001,24.835499,-80.801568
zipgeo_33004,33004,26.061046,-80.135859
zipgeo_33009,33009,25.984406,-80.145605
